sku,nome,data_venda,quantidade,receita,categoria,estoque_atual,estoque_minimo
AUT-0008,Filtro de Óleo Industrial Fiat Código 735,2024-03-21,33,6659.59,Autopeças Industriais,169,56
AUT-0008,Filtro de Óleo Industrial Fiat Código 735,2024-04-24,94,22869.98,Autopeças Industriais,169,56
AUT-0008,Filtro de Óleo Industrial Fiat Código 735,2024-05-04,71,14849.65,Autopeças Industriais,169,56
AUT-0008,Filtro de Óleo Industrial Fiat Código 735,2024-06-18,122,25164.63,Autopeças Industriais,169,56
AUT-0008,Filtro de Óleo Industrial Fiat Código 735,2024-07-06,79,17723.45,Autopeças Industriais,169,56
AUT-0008,Filtro de Óleo Industrial Fiat Código 735,2024-08-28,27,6027.86,Autopeças Industriais,169,56
AUT-0008,Filtro de Óleo Industrial Fiat Código 735,2024-09-28,227,52043.11,Autopeças Industriais,169,56
AUT-0008,Filtro de Óleo Industrial Fiat Código 735,2024-10-02,174,44272.31,Autopeças Industriais,169,56
AUT-0008,Filtro de Óleo Industrial Fiat Código 735,2024-11-27,11,2780.14,Autopeças Industriais,169,56
AUT-0008,Filtro de Óleo Industrial Fiat Código 735,2024-12-25,225,47623.81,Autopeças Industriais,169,56
AUT-0009,Filtro de Ar Reforçado Iveco Código 411,2024-01-14,132,106123.14,Autopeças Industriais,292,71
AUT-0009,Filtro de Ar Reforçado Iveco Código 411,2024-02-28,110,97699.80,Autopeças Industriais,292,71
AUT-0009,Filtro de Ar Reforçado Iveco Código 411,2024-03-06,105,74352.88,Autopeças Industriais,292,71
AUT-0009,Filtro de Ar Reforçado Iveco Código 411,2024-04-13,75,66974.63,Autopeças Industriais,292,71
AUT-0009,Filtro de Ar Reforçado Iveco Código 411,2024-05-26,124,94827.93,Autopeças Industriais,292,71
AUT-0009,Filtro de Ar Reforçado Iveco Código 411,2024-06-23,195,176821.31,Autopeças Industriais,292,71
AUT-0009,Filtro de Ar Reforçado Iveco Código 411,2024-07-18,177,150693.04,Autopeças Industriais,292,71
AUT-0009,Filtro de Ar Reforçado Iveco Código 411,2024-08-05,56,42953.85,Autopeças Industriais,292,71
AUT-0009,Filtro de Ar Reforçado Iveco Código 411,2024-09-02,156,133354.87,Autopeças Industriais,292,71
AUT-0009,Filtro de Ar Reforçado Iveco Código 411,2024-10-02,199,153312.09,Autopeças Industriais,292,71
AUT-0009,Filtro de Ar Reforçado Iveco Código 411,2024-11-02,157,126078.73,Autopeças Industriais,292,71
AUT-0009,Filtro de Ar Reforçado Iveco Código 411,2024-12-28,143,105702.47,Autopeças Industriais,292,71
AUT-0010,Bucha de Suspensão Original Volkswagen Código 518,2024-01-17,28,4252.94,Autopeças Industriais,80,26
AUT-0010,Bucha de Suspensão Original Volkswagen Código 518,2024-02-03,160,19965.62,Autopeças Industriais,80,26
AUT-0010,Bucha de Suspensão Original Volkswagen Código 518,2024-03-28,68,9275.51,Autopeças Industriais,80,26
AUT-0010,Bucha de Suspensão Original Volkswagen Código 518,2024-04-19,71,10114.99,Autopeças Industriais,80,26
AUT-0010,Bucha de Suspensão Original Volkswagen Código 518,2024-05-02,166,20794.87,Autopeças Industriais,80,26
AUT-0010,Bucha de Suspensão Original Volkswagen Código 518,2024-06-22,157,22292.57,Autopeças Industriais,80,26
AUT-0010,Bucha de Suspensão Original Volkswagen Código 518,2024-07-11,74,9583.08,Autopeças Industriais,80,26
AUT-0010,Bucha de Suspensão Original Volkswagen Código 518,2024-08-23,88,11500.92,Autopeças Industriais,80,26
AUT-0010,Bucha de Suspensão Original Volkswagen Código 518,2024-09-13,41,5972.66,Autopeças Industriais,80,26
AUT-0010,Bucha de Suspensão Original Volkswagen Código 518,2024-10-10,125,16671.70,Autopeças Industriais,80,26
AUT-0010,Bucha de Suspensão Original Volkswagen Código 518,2024-11-25,26,3191.65,Autopeças Industriais,80,26
AUT-0010,Bucha de Suspensão Original Volkswagen Código 518,2024-12-20,152,23848.70,Autopeças Industriais,80,26
AUT-0011,Filtro de Ar Linha Pesada Ford Código 411,2024-01-03,145,59349.34,Autopeças Industriais,228,42
AUT-0011,Filtro de Ar Linha Pesada Ford Código 411,2024-02-09,41,20002.67,Autopeças Industriais,228,42
AUT-0011,Filtro de Ar Linha Pesada Ford Código 411,2024-03-03,233,96159.59,Autopeças Industriais,228,42
AUT-0011,Filtro de Ar Linha Pesada Ford Código 411,2024-04-10,48,20825.13,Autopeças Industriais,228,42
AUT-0011,Filtro de Ar Linha Pesada Ford Código 411,2024-05-18,188,78782.41,Autopeças Industriais,228,42
AUT-0011,Filtro de Ar Linha Pesada Ford Código 411,2024-06-26,175,77657.73,Autopeças Industriais,228,42
AUT-0011,Filtro de Ar Linha Pesada Ford Código 411,2024-07-22,217,96903.12,Autopeças Industriais,228,42
AUT-0011,Filtro de Ar Linha Pesada Ford Código 411,2024-08-22,34,16608.62,Autopeças Industriais,228,42
AUT-0011,Filtro de Ar Linha Pesada Ford Código 411,2024-09-05,75,29898.29,Autopeças Industriais,228,42
AUT-0011,Filtro de Ar Linha Pesada Ford Código 411,2024-10-04,198,88388.74,Autopeças Industriais,228,42
AUT-0011,Filtro de Ar Linha Pesada Ford Código 411,2024-11-09,80,36163.04,Autopeças Industriais,228,42
AUT-0011,Filtro de Ar Linha Pesada Ford Código 411,2024-12-23,95,38785.00,Autopeças Industriais,228,42
AUT-0012,Filtro de Óleo Original Fiat Código 518,2024-01-21,226,85078.32,Autopeças Industriais,445,54
AUT-0012,Filtro de Óleo Original Fiat Código 518,2024-02-16,72,31676.29,Autopeças Industriais,445,54
AUT-0012,Filtro de Óleo Original Fiat Código 518,2024-03-28,21,7548.56,Autopeças Industriais,445,54
AUT-0012,Filtro de Óleo Original Fiat Código 518,2024-04-14,220,83096.14,Autopeças Industriais,445,54
AUT-0012,Filtro de Óleo Original Fiat Código 518,2024-05-01,93,39679.43,Autopeças Industriais,445,54
AUT-0012,Filtro de Óleo Original Fiat Código 518,2024-06-21,75,27473.60,Autopeças Industriais,445,54
AUT-0012,Filtro de Óleo Original Fiat Código 518,2024-07-15,149,62606.92,Autopeças Industriais,445,54
AUT-0012,Filtro de Óleo Original Fiat Código 518,2024-08-18,10,3613.93,Autopeças Industriais,445,54
AUT-0012,Filtro de Óleo Original Fiat Código 518,2024-09-23,239,87252.78,Autopeças Industriais,445,54
AUT-0012,Filtro de Óleo Original Fiat Código 518,2024-10-02,221,85498.49,Autopeças Industriais,445,54
AUT-0012,Filtro de Óleo Original Fiat Código 518,2024-11-18,45,17679.05,Autopeças Industriais,445,54
AUT-0012,Filtro de Óleo Original Fiat Código 518,2024-12-02,86,33232.04,Autopeças Industriais,445,54
AUT-0013,Filtro de Ar Original Ford Código 623,2024-01-26,228,73724.03,Autopeças Industriais,282,63
AUT-0013,Filtro de Ar Original Ford Código 623,2024-02-12,61,23264.16,Autopeças Industriais,282,63
AUT-0013,Filtro de Ar Original Ford Código 623,2024-03-22,34,11957.99,Autopeças Industriais,282,63
AUT-0013,Filtro de Ar Original Ford Código 623,2024-04-18,234,93316.31,Autopeças Industriais,282,63
AUT-0013,Filtro de Ar Original Ford Código 623,2024-05-20,199,66408.67,Autopeças Industriais,282,63
AUT-0013,Filtro de Ar Original Ford Código 623,2024-06-08,229,76584.50,Autopeças Industriais,282,63
AUT-0013,Filtro de Ar Original Ford Código 623,2024-07-26,215,72185.17,Autopeças Industriais,282,63
AUT-0013,Filtro de Ar Original Ford Código 623,2024-08-14,14,4703.35,Autopeças Industriais,282,63
AUT-0013,Filtro de Ar Original Ford Código 623,2024-09-11,208,84002.32,Autopeças Industriais,282,63
AUT-0013,Filtro de Ar Original Ford Código 623,2024-10-26,179,71210.75,Autopeças Industriais,282,63
AUT-0013,Filtro de Ar Original Ford Código 623,2024-11-26,71,24413.73,Autopeças Industriais,282,63
AUT-0013,Filtro de Ar Original Ford Código 623,2024-12-26,187,61619.09,Autopeças Industriais,282,63
AUT-0014,Filtro de Óleo Agrícola Volkswagen Código 735,2024-01-28,17,14044.50,Autopeças Industriais,252,78
AUT-0014,Filtro de Óleo Agrícola Volkswagen Código 735,2024-02-08,59,48277.00,Autopeças Industriais,252,78
AUT-0014,Filtro de Óleo Agrícola Volkswagen Código 735,2024-03-15,97,70050.49,Autopeças Industriais,252,78
AUT-0014,Filtro de Óleo Agrícola Volkswagen Código 735,2024-04-26,231,163453.50,Autopeças Industriais,252,78
AUT-0014,Filtro de Óleo Agrícola Volkswagen Código 735,2024-05-01,176,123396.29,Autopeças Industriais,252,78
AUT-0014,Filtro de Óleo Agrícola Volkswagen Código 735,2024-06-11,79,65351.09,Autopeças Industriais,252,78
AUT-0014,Filtro de Óleo Agrícola Volkswagen Código 735,2024-07-25,79,57733.55,Autopeças Industriais,252,78
AUT-0014,Filtro de Óleo Agrícola Volkswagen Código 735,2024-08-17,110,87175.11,Autopeças Industriais,252,78
AUT-0014,Filtro de Óleo Agrícola Volkswagen Código 735,2024-09-27,145,105421.87,Autopeças Industriais,252,78
AUT-0014,Filtro de Óleo Agrícola Volkswagen Código 735,2024-10-01,37,30695.66,Autopeças Industriais,252,78
AUT-0014,Filtro de Óleo Agrícola Volkswagen Código 735,2024-11-09,53,41017.43,Autopeças Industriais,252,78
AUT-0014,Filtro de Óleo Agrícola Volkswagen Código 735,2024-12-09,17,11648.33,Autopeças Industriais,252,78
AUT-0015,Pastilha de Freio Reforçado Ford Código 411,2024-01-14,96,41238.54,Autopeças Industriais,103,34
AUT-0015,Pastilha de Freio Reforçado Ford Código 411,2024-02-11,119,49653.02,Autopeças Industriais,103,34
AUT-0015,Pastilha de Freio Reforçado Ford Código 411,2024-03-17,37,14615.09,Autopeças Industriais,103,34
AUT-0015,Pastilha de Freio Reforçado Ford Código 411,2024-04-19,56,21384.58,Autopeças Industriais,103,34
AUT-0015,Pastilha de Freio Reforçado Ford Código 411,2024-05-23,119,42410.92,Autopeças Industriais,103,34
AUT-0015,Pastilha de Freio Reforçado Ford Código 411,2024-06-26,145,61678.84,Autopeças Industriais,103,34
AUT-0015,Pastilha de Freio Reforçado Ford Código 411,2024-07-24,196,83052.55,Autopeças Industriais,103,34
AUT-0015,Pastilha de Freio Reforçado Ford Código 411,2024-08-12,118,42865.67,Autopeças Industriais,103,34
AUT-0015,Pastilha de Freio Reforçado Ford Código 411,2024-09-22,92,38544.16,Autopeças Industriais,103,34
AUT-0015,Pastilha de Freio Reforçado Ford Código 411,2024-10-22,225,82973.31,Autopeças Industriais,103,34
AUT-0015,Pastilha de Freio Reforçado Ford Código 411,2024-11-10,137,53068.36,Autopeças Industriais,103,34
AUT-0015,Pastilha de Freio Reforçado Ford Código 411,2024-12-14,91,36102.84,Autopeças Industriais,103,34
AUT-0016,Amortecedor Industrial Volkswagen Código 101,2024-01-10,149,16819.80,Autopeças Industriais,167,52
AUT-0016,Amortecedor Industrial Volkswagen Código 101,2024-02-14,178,24550.25,Autopeças Industriais,167,52
AUT-0016,Amortecedor Industrial Volkswagen Código 101,2024-03-22,199,27216.46,Autopeças Industriais,167,52
AUT-0016,Amortecedor Industrial Volkswagen Código 101,2024-04-20,153,18089.55,Autopeças Industriais,167,52
AUT-0016,Amortecedor Industrial Volkswagen Código 101,2024-05-18,221,24083.98,Autopeças Industriais,167,52
AUT-0016,Amortecedor Industrial Volkswagen Código 101,2024-06-10,61,7454.38,Autopeças Industriais,167,52
AUT-0016,Amortecedor Industrial Volkswagen Código 101,2024-07-19,163,21047.55,Autopeças Industriais,167,52
AUT-0016,Amortecedor Industrial Volkswagen Código 101,2024-08-15,121,14832.28,Autopeças Industriais,167,52
AUT-0016,Amortecedor Industrial Volkswagen Código 101,2024-09-07,138,17048.01,Autopeças Industriais,167,52
AUT-0016,Amortecedor Industrial Volkswagen Código 101,2024-10-26,196,22381.31,Autopeças Industriais,167,52
AUT-0016,Amortecedor Industrial Volkswagen Código 101,2024-11-03,80,9987.03,Autopeças Industriais,167,52
AUT-0016,Amortecedor Industrial Volkswagen Código 101,2024-12-21,166,19801.60,Autopeças Industriais,167,52
AUT-0017,Pastilha de Freio Industrial Fiat Código 307,2024-01-27,200,46947.92,Autopeças Industriais,97,32
AUT-0017,Pastilha de Freio Industrial Fiat Código 307,2024-02-10,65,17569.81,Autopeças Industriais,97,32
AUT-0017,Pastilha de Freio Industrial Fiat Código 307,2024-03-05,14,3122.05,Autopeças Industriais,97,32
AUT-0017,Pastilha de Freio Industrial Fiat Código 307,2024-04-16,164,44770.48,Autopeças Industriais,97,32
AUT-0017,Pastilha de Freio Industrial Fiat Código 307,2024-05-03,124,30492.95,Autopeças Industriais,97,32
AUT-0017,Pastilha de Freio Industrial Fiat Código 307,2024-06-21,155,35994.76,Autopeças Industriais,97,32
AUT-0017,Pastilha de Freio Industrial Fiat Código 307,2024-07-23,106,26593.67,Autopeças Industriais,97,32
AUT-0017,Pastilha de Freio Industrial Fiat Código 307,2024-08-08,45,11742.39,Autopeças Industriais,97,32
AUT-0017,Pastilha de Freio Industrial Fiat Código 307,2024-09-01,236,62975.67,Autopeças Industriais,97,32
AUT-0017,Pastilha de Freio Industrial Fiat Código 307,2024-10-25,234,53061.66,Autopeças Industriais,97,32
AUT-0017,Pastilha de Freio Industrial Fiat Código 307,2024-11-14,64,14788.50,Autopeças Industriais,97,32
AUT-0017,Pastilha de Freio Industrial Fiat Código 307,2024-12-23,140,34863.94,Autopeças Industriais,97,32
AUT-0018,Filtro de Combustível Linha Leve Iveco Código 307,2024-01-18,71,5362.30,Autopeças Industriais,95,31
AUT-0018,Filtro de Combustível Linha Leve Iveco Código 307,2024-02-04,124,7717.12,Autopeças Industriais,95,31
AUT-0018,Filtro de Combustível Linha Leve Iveco Código 307,2024-03-15,178,12277.94,Autopeças Industriais,95,31
AUT-0018,Filtro de Combustível Linha Leve Iveco Código 307,2024-04-18,160,10456.45,Autopeças Industriais,95,31
AUT-0018,Filtro de Combustível Linha Leve Iveco Código 307,2024-05-25,236,15924.37,Autopeças Industriais,95,31
AUT-0018,Filtro de Combustível Linha Leve Iveco Código 307,2024-06-27,192,14418.05,Autopeças Industriais,95,31
AUT-0018,Filtro de Combustível Linha Leve Iveco Código 307,2024-07-14,220,16576.00,Autopeças Industriais,95,31
AUT-0018,Filtro de Combustível Linha Leve Iveco Código 307,2024-08-15,237,14853.37,Autopeças Industriais,95,31
AUT-0018,Filtro de Combustível Linha Leve Iveco Código 307,2024-09-28,129,8720.81,Autopeças Industriais,95,31
AUT-0018,Filtro de Combustível Linha Leve Iveco Código 307,2024-10-25,71,5268.91,Autopeças Industriais,95,31
AUT-0018,Filtro de Combustível Linha Leve Iveco Código 307,2024-11-09,204,14923.81,Autopeças Industriais,95,31
AUT-0018,Filtro de Combustível Linha Leve Iveco Código 307,2024-12-16,168,10757.02,Autopeças Industriais,95,31
AUT-0019,Pastilha de Freio Linha Pesada Ford Código 623,2024-01-15,27,21729.84,Autopeças Industriais,400,62
AUT-0019,Pastilha de Freio Linha Pesada Ford Código 623,2024-02-08,77,56465.57,Autopeças Industriais,400,62
AUT-0019,Pastilha de Freio Linha Pesada Ford Código 623,2024-03-18,28,19486.37,Autopeças Industriais,400,62
AUT-0019,Pastilha de Freio Linha Pesada Ford Código 623,2024-04-08,106,84916.58,Autopeças Industriais,400,62
AUT-0019,Pastilha de Freio Linha Pesada Ford Código 623,2024-05-23,62,42278.29,Autopeças Industriais,400,62
AUT-0019,Pastilha de Freio Linha Pesada Ford Código 623,2024-06-14,92,71065.84,Autopeças Industriais,400,62
AUT-0019,Pastilha de Freio Linha Pesada Ford Código 623,2024-07-14,23,16304.70,Autopeças Industriais,400,62
AUT-0019,Pastilha de Freio Linha Pesada Ford Código 623,2024-08-14,107,89988.74,Autopeças Industriais,400,62
AUT-0019,Pastilha de Freio Linha Pesada Ford Código 623,2024-09-19,186,125261.28,Autopeças Industriais,400,62
AUT-0019,Pastilha de Freio Linha Pesada Ford Código 623,2024-10-25,155,114970.99,Autopeças Industriais,400,62
AUT-0019,Pastilha de Freio Linha Pesada Ford Código 623,2024-11-01,98,71174.60,Autopeças Industriais,400,62
AUT-0019,Pastilha de Freio Linha Pesada Ford Código 623,2024-12-13,226,189505.16,Autopeças Industriais,400,62
AUT-0020,Correia Dentada Agrícola Chevrolet Código 307,2024-01-27,115,58704.79,Autopeças Industriais,267,65
AUT-0020,Correia Dentada Agrícola Chevrolet Código 307,2024-02-24,147,79856.22,Autopeças Industriais,267,65
AUT-0020,Correia Dentada Agrícola Chevrolet Código 307,2024-03-08,132,62113.51,Autopeças Industriais,267,65
AUT-0020,Correia Dentada Agrícola Chevrolet Código 307,2024-04-14,132,58966.47,Autopeças Industriais,267,65
AUT-0020,Correia Dentada Agrícola Chevrolet Código 307,2024-05-11,179,94533.91,Autopeças Industriais,267,65
AUT-0020,Correia Dentada Agrícola Chevrolet Código 307,2024-06-13,193,89503.34,Autopeças Industriais,267,65
AUT-0020,Correia Dentada Agrícola Chevrolet Código 307,2024-07-15,40,22635.43,Autopeças Industriais,267,65
AUT-0020,Correia Dentada Agrícola Chevrolet Código 307,2024-08-18,14,7793.04,Autopeças Industriais,267,65
AUT-0020,Correia Dentada Agrícola Chevrolet Código 307,2024-09-19,152,79967.37,Autopeças Industriais,267,65
AUT-0020,Correia Dentada Agrícola Chevrolet Código 307,2024-10-03,172,85441.26,Autopeças Industriais,267,65
AUT-0020,Correia Dentada Agrícola Chevrolet Código 307,2024-11-28,126,58695.47,Autopeças Industriais,267,65
AUT-0020,Correia Dentada Agrícola Chevrolet Código 307,2024-12-09,105,50827.54,Autopeças Industriais,267,65
AUT-0021,Bucha de Suspensão Reforçado Scania Código 205,2024-01-15,91,42316.48,Autopeças Industriais,95,22
